start,end,type,authorL,titleL,authorH,titleH,eolL,eolH,paper
,,HEADER,,"Friday, May 17th, 2013",,"Friday, May 17th, 2013",,,
8:00,9:00,smallbreak,,Optional Pre-Conference Seminars,,Optional Pre-Conference Tutorials,,,
,,tutorial,Armstrong/Lewis,An Introduction to Distributed Computing in R,Armstrong/Lewis,An Introduction to Distributed Computing in R,,,
,,tutorial,Matthew Dowle,Advanced Tutorial on \emph{data.table},Matthew Dowle,Advanced Tutorial on data.table,,,
,,tutorial,Humme/Peterson,Using \emph{quantstrat} to evaluate intraday trading strategies,Humme/Peterson,Using quantstrat to evaluate intraday trading strategies,,,
,,tutorial,Dirk Eddelbuettel,Example-driven Introduction to \emph{Rcpp},Dirk Eddelbuettel,Example-driven Introduction to Rcpp,,,
,,tutorial,Jeff Ryan,TBA,Jeff Ryan,TBA,,,
9:00,9:30,normalbreak,,Registration (2nd fl.~Inner Circle) \& Cont.~Breakfast (3rd fl.~by Sponsor Tables),,Registration (2nd floor Inner Circle) & Continental Breakfast (3rd floor by Sponsor Tables),,,
9:30,9:35,normalbreak,,Welcome and Opening Remarks,,Welcome and Opening Remarks,,,
9:35,9:40,normalbreak,,Introduction of Sponsors,,Introduction of Sponsors,,,
9:40,10:30,keynote,Ryan Sheftel,R on the Trading Desk,Ryan Sheftel,R on the Trading Desk,,,
10:30,10:50,talk,David Ardia,Implied expected returns and the choice of a mean-variance efficient portfolio proxy,David Ardia,Implied expected returns and the choice of a mean-variance efficient portfolio proxy,,,
10:50,11:10,talk,Ronald Hochreiter,Financial Portfolio Optimization with (O)R,Ronald Hochreiter,Financial Portfolio Optimization with (O)R,,,
11:10,11:40,smallbreak,,Break,,Break,,,
11:40,12:00,talk,Bernhard Pfaff,Portfolio Selection with Probabilistic Utility: Revisited,Bernhard Pfaff,Portfolio Selection with Probabilistic Utility: Revisited,,,
12:00,12:24,lightning,Andrii Babii,Performance Attribution in R,Andrii Babii,Performance Attribution in R,,,
,,lightning,Dirk Eddelbuettel,Index Replication Using Sequential Monte Carlo: An Rcpp Case Study,Dirk Eddelbuettel,Index Replication Using Sequential Monte Carlo: An Rcpp Case Study,,,
,,lightning,Yang Lu,Performance Attribution for Equity Portfolios,Yang Lu,Performance Attribution for Equity Portfolios,,,
,,lightning,Michael Kapler,Portfolio Allocation with Cluster Risk Parity,Michael Kapler,Portfolio Allocation with Cluster Risk Parity,,,
12:24,13:30,smallbreak,,Lunch,,Lunch,,,
13:30,13:50,talk,Eric Zivot,EWMA covariance matrix estimation and forecasting,Eric Zivot,EWMA covariance matrix estimation and forecasting,,,
13:50,14:10,talk,Doug Martin,"Robust Covariances And Distances: Common
Risk Factor Versus Idiosyncratic Outliers",Doug Martin,"Robust Covariances And Distances: Common
Risk Factor Versus Idiosyncratic Outliers",,,
14:10,14:30,lightning,Giles Heywood,Covariance forecasting for portfolio optimisation,Giles Heywood,Covariance forecasting for portfolio optimisation,,,
14:30,15:00,smallbreak,,Break,,Break,,,
15:00,15:50,keynote,Ruey Tsay,Multivariate Processes in R,Ruey Tsay,Multivariate Processes in R,,,
15:50,16:10,talk,Alexios Ghalanos,Time Varying Higher Moments and the Cost of GARCH,Alexios Ghalanos,Time Varying Higher Moments and the Cost of GARCH,,,
16:10,16:30,talk,Kris Boudt,Regime Switches in Volatility and Correlation of Financial Institutions,Kris Boudt,Regime Switches in Volatility and Correlation of Financial Institutions,,,
